Load,PV_rel
0.88061524,0
0.41992188,0
0.3798828,0
0.36010742,0
0.36523438,0
0.5197754,0
0.39526366,0
0.45996094,0
0.45996094,0.009277478
0.50512696,0.066111777
0.4345703,0.130834857
0.48022462,0.161936822
0.43969726,0.15426731
0.73046876,0.130167307
0.89453124,0.087595182
0.875,0.030434416
0.7150879,0.001827234
2.13012694,0
1.02001954,0
0.86035156,0
0.859375,0
1.02539062,0
1.3449707,0
1.16992188,0
1.71948242,0
1.34545898,0
2.15454102,0
0.77539062,0
0.48535158,0
0.59472656,0
0.5,0
0.33984374,0
0.54003906,0.001071977
0.48999024,0.010968279
0.75,0.027486478
0.40039062,0.042279768
0.56958008,0.052712058
0.69018556,0.046752838
0.71020506,0.025547173
1.35961914,0.007153014
2.28515626,0
2.4453125,0
1.38964844,0
2.1599121,0
1.42504884,0
2.31518554,0
1.20019532,0
1.7644043,0
0.7902832,0
1.24511718,0
0.70996094,0
0.36010742,0
0.3449707,0
0.53491212,0
0.33984374,0
0.8852539,0
1.17944336,0.00664626
1.4951172,0.048068446
0.41992188,0.099157921
0.38061522,0.120870338
0.83984376,0.128393671
0.54003906,0.121615849
0.78442382,0.083258545
0.71557618,0.031886459
0.78442382,0.002090356
0.86547852,0
1.46972656,0
1.20483398,0
1.4104004,0
1.375,0
0.87475586,0
0.86523438,0
0.9345703,0
0.74023438,0
0.75976562,0
0.70019532,0
0.45507812,0
0.48022462,0
0.50512694,0
0.59472656,0
0.37988282,0.003522908
0.45996094,0.031983911
0.34057618,0.069941661
0.60473632,0.098846073
0.70019532,0.110857093
0.71972656,0.102062005
0.78027344,0.076173748
0.75976562,0.031750025
1.0246582,0.002051375
0.89526368,0
1.54003906,0
1.71972656,0
1.02539062,0
1.97460938,0
0.91503906,0
0.9453125,0
0.78027344,0
0.75976562,0
0.71972656,0
0.39526368,0
0.35961914,0
0.52026366,0
0.43457032,0
0.45043946,0
0.63012694,0.003932209
0.76513672,0.033552896
1.40454102,0.079160667
0.76489258,0.113780668
0.89038086,0.112007032
1.59960938,0.085266067
0.56542968,0.054758561
0.75488282,0.020991269
2.33007812,0.00155924
2.20996094,0
0.59960938,0
0.98535156,0
1.14477538,0
1.86010742,0
1.24023438,0
2.13476562,0
0.98535156,0
0.875,0
0.93945314,0
0.375,0
0.38061522,0
0.52465822,0
0.51538086,0
0.5246582,0
0.75024414,0.002372968
0.60498046,0.021025377
0.45996094,0.043376109
0.47973632,0.055143498
0.37988282,0.057009714
0.44018554,0.047176756
0.77001954,0.029152916
0.9802246,0.010213023
1.13964844,0
0.93041992,0
0.90966798,0
1.1550293,0
1.125,0
1.0998535,0
0.78979494,0
0.5,0
0.36035156,0
0.41992186,0
0.32006836,0
0.45996094,0
0.3203125,0
0.58007814,0
0.5,0
0.54418944,0
0.53515626,0.00243144
0.45996094,0.021761144
2.4501953,0.044457832
2.01049806,0.067885413
